v_mem,a,b,s,logpdf
50.0,10.0,10.0,0.5,-22909.63762676377
50.0,10.0,10.0,0.5,-22909.63762676377
50.015227029178455,9.879248084901096,10.061319555834856,0.4919530657425022,-22902.23328838367
50.015227029178455,9.879248084901096,10.061319555834856,0.4919530657425022,-22902.23328838367
49.99599672928523,9.948591376199056,10.210501216105014,0.48269644106739246,-22894.362555063293
49.99599672928523,9.948591376199056,10.210501216105014,0.48269644106739246,-22894.362555063293
49.812430920755354,10.091773217403578,10.085446622137482,0.4790601550697517,-22891.041435212665
49.812430920755354,10.091773217403578,10.085446622137482,0.4790601550697517,-22891.041435212665
49.812430920755354,10.091773217403578,10.085446622137482,0.4790601550697517,-22891.041435212665
50.0040011693144,10.227659799548162,10.29408803565437,0.46884093097629387,-22883.25137108611
49.93941310513593,10.443620461207164,9.927372978859461,0.4655672832316584,-22879.99775660668
49.93941310513593,10.443620461207164,9.927372978859461,0.4655672832316584,-22879.99775660668
49.835312370718235,10.661035679061731,10.262517453348618,0.44881657099539346,-22868.002320396132
49.879465518511985,10.759767634761257,10.589540258496184,0.44144034772141827,-22863.78567282319
49.879465518511985,10.759767634761257,10.589540258496184,0.44144034772141827,-22863.78567282319
49.879465518511985,10.759767634761257,10.589540258496184,0.44144034772141827,-22863.78567282319
50.01869092839128,10.781416312007119,10.565782806019504,0.44179540324391714,-22864.134548623275
50.01869092839128,10.781416312007119,10.565782806019504,0.44179540324391714,-22864.134548623275
50.01869092839128,10.781416312007119,10.565782806019504,0.44179540324391714,-22864.134548623275
50.217724872329704,10.672392548894484,10.588560923165206,0.43231504039937163,-22856.75512258875
50.217724872329704,10.672392548894484,10.588560923165206,0.43231504039937163,-22856.75512258875
50.217724872329704,10.672392548894484,10.588560923165206,0.43231504039937163,-22856.75512258875
50.217724872329704,10.672392548894484,10.588560923165206,0.43231504039937163,-22856.75512258875
50.217724872329704,10.672392548894484,10.588560923165206,0.43231504039937163,-22856.75512258875
50.18752566030514,10.90556161895298,10.495877496930238,0.41894035335287105,-22847.494368963606
50.18752566030514,10.90556161895298,10.495877496930238,0.41894035335287105,-22847.494368963606
