#x_cut[deg],y_cut[deg]
-1.337787e-01,8.449706e-03
-1.061835e-01,1.497745e-04
4.799731e-02,2.187390e-02
-5.947265e-02,-5.560044e-02
-6.707160e-02,-5.847740e-02
2.109856e-01,-3.621385e-02
8.192426e-02,-6.665438e-02
-1.929677e-01,1.014094e-01
-5.768639e-02,1.042484e-01
-9.788147e-02,8.097792e-02
-2.904528e-02,2.320103e-02
-9.461167e-02,3.561857e-03
-1.277779e-01,9.899924e-02
-1.158552e-01,-1.561019e-02
-4.710280e-02,-6.763339e-03
1.708317e-01,2.575139e-02
1.469974e-01,7.727403e-03
-2.123738e-02,-3.830989e-02
-1.578370e-01,1.240278e-01
1.857243e-01,1.277894e-01
1.364730e-01,9.312594e-02
-3.174045e-03,2.810287e-02
1.123988e-01,4.365042e-02
-6.936508e-02,1.223201e-03
2.088867e-02,2.147731e-02
-1.044646e-01,6.508227e-02
3.532190e-02,1.001914e-01
-1.119978e-01,6.085274e-02
2.227489e-01,7.421863e-02
1.332333e-01,4.741590e-02
-5.359265e-02,2.504082e-02
7.009687e-02,-2.275896e-02
2.195053e-01,-2.604888e-02
2.078847e-01,2.315808e-02
1.978960e-01,1.308650e-02
2.871782e-01,-3.855065e-02
2.233219e-01,-7.466473e-02
1.056914e+00,-5.332256e-01
1.035946e+00,-4.937555e-01
-1.339051e-01,4.951707e-02
1.490691e-01,8.347318e-02
9.403671e-02,5.487831e-02
-7.052948e-02,1.040268e-01
-1.289016e-01,5.291832e-02
-3.594080e-02,6.368608e-02
1.213420e-01,3.550272e-02
1.757700e-01,6.917223e-03
1.051132e-01,-1.244121e-01
1.604648e-02,2.164622e-03
-6.761685e-02,-1.842785e-02
6.231699e-01,1.403492e-01
1.079786e-01,6.910816e-02
4.881790e-02,1.747664e-01
-1.961535e-01,1.262003e-01
1.090450e-01,3.330255e-02
-9.899406e-02,-1.013873e-03
1.572619e-01,3.753470e-02
-1.073591e-01,5.387889e-02
-1.039754e-01,4.883062e-02
7.973797e-02,4.498866e-02
8.123781e-02,3.599499e-02
6.524871e-02,-6.510231e-02
3.891142e-03,-1.443852e-02
-1.805507e-02,-3.847680e-02
9.081557e-01,-2.955032e-01
-1.851546e-02,5.844426e-02
-1.522971e-01,6.432430e-02
2.053320e-01,4.677280e-02
-1.482696e-01,1.090561e-01
8.140369e-03,3.609787e-02
-1.030429e-02,8.390445e-02
-9.698064e-02,3.382334e-02
-4.803572e-02,2.604936e-02
-5.827471e-02,1.149713e-02
9.078904e-02,-4.929170e-02
1.698791e-01,-7.037911e-02
-3.310998e-02,-1.038871e-02
-8.611124e-02,-2.902718e-02
1.666344e-01,1.023363e-02
1.388892e-02,-1.505984e-02
-1.910939e-02,-2.859595e-02
-7.899146e-02,-5.476346e-02
8.226984e-01,-1.561155e-01
1.056228e+00,-5.577224e-01
1.161970e+00,-7.445234e-01
1.573662e-01,8.592646e-02
8.767987e-02,4.320539e-02
-3.434524e-02,1.459443e-01
1.022431e-01,1.506771e-01
1.797941e-01,1.407893e-01
-2.426329e-02,-9.197411e-02
1.179919e-01,2.308519e-02
-4.713817e-02,-1.901296e-02
4.921318e-03,-4.317987e-02
1.936439e-01,-3.136506e-02
1.758303e-01,-4.875235e-02
1.023825e+00,-5.082660e-01
1.058588e-01,7.153134e-02
-9.777831e-02,2.550570e-02
-1.228017e-01,1.420234e-01
-5.283723e-02,8.861739e-02
-6.505228e-02,7.250569e-02
-1.215718e-04,2.616541e-02
6.845364e-02,3.156911e-02
9.067489e-02,1.722748e-01
1.244778e-01,1.087323e-01
